rank,player,avg,total_distance,total_drives,tournament
64,Brian Harman,275.0,"2,200",8,The RSM Classic
65,Jonathan Byrd,273.9,"2,191",8,The RSM Classic
66,Russell Knox,271.8,"2,174",8,The RSM Classic
66,Paul Peterson,271.8,"2,174",8,The RSM Classic
68,Kelly Kraft,269.0,"2,152",8,The RSM Classic
69,William McGirt,262.8,"2,102",8,The RSM Classic
1,Christo Lamprecht,317.9,"2,543",8,Butterfield Bermuda Championship
2,Pierceson Coody,312.0,"2,496",8,Butterfield Bermuda Championship
3,Alex Smalley,306.1,"2,449",8,Butterfield Bermuda Championship
4,Jhonattan Vegas,301.4,"2,411",8,Butterfield Bermuda Championship
5,Kevin Dougherty,300.6,"2,405",8,Butterfield Bermuda Championship
6,Hayden Springer,300.4,"2,403",8,Butterfield Bermuda Championship
7,Mackenzie Hughes,297.1,"2,377",8,Butterfield Bermuda Championship
8,Garrick Higgo,296.9,"2,375",8,Butterfield Bermuda Championship
9,Norman Xiong,293.9,"2,351",8,Butterfield Bermuda Championship
10,Joseph Bramlett,293.1,"2,345",8,Butterfield Bermuda Championship
11,Michael Kim,292.9,"2,343",8,Butterfield Bermuda Championship
12,S.H. Kim,292.8,"2,342",8,Butterfield Bermuda Championship
12,Patrick Rodgers,292.8,"2,342",8,Butterfield Bermuda Championship
14,Dylan Wu,290.6,"2,325",8,Butterfield Bermuda Championship
15,Trace Crowe,290.4,"2,323",8,Butterfield Bermuda Championship
15,Nick Watney,290.4,"2,323",8,Butterfield Bermuda Championship
17,Carl Yuan,289.9,"2,319",8,Butterfield Bermuda Championship
18,Hayden Buckley,288.4,"2,307",8,Butterfield Bermuda Championship
19,Rico Hoey,288.3,"2,306",8,Butterfield Bermuda Championship
20,Matti Schmid,287.1,"2,297",8,Butterfield Bermuda Championship
21,Tyler Duncan,286.9,"2,008",7,Butterfield Bermuda Championship
22,Will Gordon,286.6,"2,293",8,Butterfield Bermuda Championship
23,Seamus Power,285.8,"2,286",8,Butterfield Bermuda Championship
24,Sam Stevens,285.6,"1,999",7,Butterfield Bermuda Championship
24,Tom Whitney,285.6,"2,285",8,Butterfield Bermuda Championship
26,Rafael Campos,284.8,"2,278",8,Butterfield Bermuda Championship
27,Jacob Bridgeman,284.6,"2,277",8,Butterfield Bermuda Championship
28,Vince Whaley,284.3,"2,274",8,Butterfield Bermuda Championship
29,Sam Ryder,283.6,"2,269",8,Butterfield Bermuda Championship
30,Andrew Novak,283.5,"2,268",8,Butterfield Bermuda Championship
31,Ben Griffin,282.9,"2,263",8,Butterfield Bermuda Championship
32,Troy Merritt,282.6,"2,261",8,Butterfield Bermuda Championship
32,Chad Ramey,282.6,"2,261",8,Butterfield Bermuda Championship
34,Chris Baker,282.3,"1,976",7,Butterfield Bermuda Championship
34,Egor Eroshenko,282.3,"1,976",7,Butterfield Bermuda Championship
36,Nico Echavarria,282.0,"2,256",8,Butterfield Bermuda Championship
37,Lucas Glover,281.8,"2,254",8,Butterfield Bermuda Championship
38,S.Y. Noh,281.3,"2,250",8,Butterfield Bermuda Championship
39,"Blaine Hale, Jr.",281.1,"1,968",7,Butterfield Bermuda Championship
,Field Average,281.0,,,Butterfield Bermuda Championship
40,Richy Werenski,280.6,"2,245",8,Butterfield Bermuda Championship
41,Connor Jones,280.0,"1,960",7,Butterfield Bermuda Championship
42,Greyson Sigg,279.9,"2,239",8,Butterfield Bermuda Championship
43,Adrien Dumont de Chassart,279.8,"2,238",8,Butterfield Bermuda Championship
43,Austin Smotherman,279.8,"2,238",8,Butterfield Bermuda Championship
45,Wesley Bryan,279.3,"2,234",8,Butterfield Bermuda Championship
46,Kevin Chappell,279.1,"2,233",8,Butterfield Bermuda Championship
47,Lanto Griffin,278.9,"2,231",8,Butterfield Bermuda Championship
48,Callum Tarren,278.8,"2,230",8,Butterfield Bermuda Championship
49,Ben Kohles,278.6,"2,229",8,Butterfield Bermuda Championship
49,Robby Shelton,278.6,"2,229",8,Butterfield Bermuda Championship
51,Chez Reavie,278.3,"2,226",8,Butterfield Bermuda Championship
52,Carson Young,278.0,"2,224",8,Butterfield Bermuda Championship
53,David Skinns,277.3,"2,218",8,Butterfield Bermuda Championship
54,Ben Crane,277.0,"2,216",8,Butterfield Bermuda Championship
55,Maverick McNealy,276.9,"1,938",7,Butterfield Bermuda Championship
55,Brandon Wu,276.9,"2,215",8,Butterfield Bermuda Championship
57,Mark Hubbard,276.6,"2,213",8,Butterfield Bermuda Championship
58,Henrik Norlander,275.4,"2,203",8,Butterfield Bermuda Championship
59,Francesco Molinari,275.1,"2,201",8,Butterfield Bermuda Championship
60,Tyson Alexander,273.8,"2,190",8,Butterfield Bermuda Championship
61,Martin Laird,273.5,"2,188",8,Butterfield Bermuda Championship
62,Justin Lower,273.0,"2,184",8,Butterfield Bermuda Championship
63,Ryan Moore,272.8,"2,182",8,Butterfield Bermuda Championship
64,Russell Knox,272.1,"1,905",7,Butterfield Bermuda Championship
65,Robert Streb,272.0,"1,904",7,Butterfield Bermuda Championship
66,Ryo Hisatsune,271.6,"2,173",8,Butterfield Bermuda Championship
67,Kevin Kisner,268.9,"2,151",8,Butterfield Bermuda Championship
68,Ben Taylor,268.4,"1,879",7,Butterfield Bermuda Championship
69,Camilo Villegas,268.1,"2,145",8,Butterfield Bermuda Championship
70,David Lipsky,265.9,"2,127",8,Butterfield Bermuda Championship
71,William McGirt,264.9,"2,119",8,Butterfield Bermuda Championship
72,Brendon Todd,263.3,"1,843",7,Butterfield Bermuda Championship
73,Cody Gribble,261.4,"2,091",8,Butterfield Bermuda Championship
74,Daniel Berger,260.4,"1,823",7,Butterfield Bermuda Championship
75,Aaron Baddeley,254.6,"1,782",7,Butterfield Bermuda Championship
1,J.J. Spaun,320.5,"2,564",8,World Wide Technology Championship
2,Garrick Higgo,315.3,"2,522",8,World Wide Technology Championship
3,Joe Highsmith,314.8,"2,518",8,World Wide Technology Championship
4,"Blaine Hale, Jr.",311.9,"2,495",8,World Wide Technology Championship
5,Max Greyserman,309.5,"2,476",8,World Wide Technology Championship
6,Patrick Fishburn,308.6,"2,469",8,World Wide Technology Championship
7,Kevin Chappell,307.8,"2,462",8,World Wide Technology Championship
8,Josh Teater,307.6,"2,153",7,World Wide Technology Championship
9,Hayden Springer,307.4,"2,459",8,World Wide Technology Championship
10,Ryan Brehm,307.3,"2,458",8,World Wide Technology Championship
11,Erik van Rooyen,306.8,"2,454",8,World Wide Technology Championship
12,Nick Hardy,306.0,"2,448",8,World Wide Technology Championship
13,Jacob Bridgeman,305.6,"2,445",8,World Wide Technology Championship
13,Vince Whaley,305.6,"2,445",8,World Wide Technology Championship
15,Rico Hoey,304.4,"2,435",8,World Wide Technology Championship
16,Lucas Glover,304.1,"2,433",8,World Wide Technology Championship
17,Harris English,303.0,"2,424",8,World Wide Technology Championship
18,Tyson Alexander,302.8,"2,422",8,World Wide Technology Championship
19,Alex Smalley,302.0,"2,416",8,World Wide Technology Championship
20,Patrick Rodgers,301.9,"2,415",8,World Wide Technology Championship
21,Justin Suh,301.4,"2,411",8,World Wide Technology Championship
22,Chesson Hadley,300.4,"2,403",8,World Wide Technology Championship
22,Harry Higgs,300.4,"2,403",8,World Wide Technology Championship
22,Charley Hoffman,300.4,"2,403",8,World Wide Technology Championship
22,Luke List,300.4,"2,403",8,World Wide Technology Championship
26,Sam Stevens,300.0,"2,400",8,World Wide Technology Championship
27,Justin Lower,299.9,"2,399",8,World Wide Technology Championship
28,Joel Dahmen,299.1,"2,393",8,World Wide Technology Championship
29,Tom Hoge,299.0,"2,392",8,World Wide Technology Championship
30,Daniel Berger,298.9,"2,391",8,World Wide Technology Championship
30,Lanto Griffin,298.9,"2,391",8,World Wide Technology Championship
32,Chandler Phillips,298.8,"2,390",8,World Wide Technology Championship
,Field Average,298.4,,,World Wide Technology Championship
33,David Lipsky,297.4,"2,379",8,World Wide Technology Championship
33,Kevin Streelman,297.4,"2,379",8,World Wide Technology Championship
35,Nico Echavarria,297.3,"2,378",8,World Wide Technology Championship
36,Joseph Bramlett,297.1,"2,377",8,World Wide Technology Championship
37,Wesley Bryan,297.0,"2,376",8,World Wide Technology Championship
37,Robby Shelton,297.0,"2,376",8,World Wide Technology Championship
39,Danny Willett,296.8,"2,374",8,World Wide Technology Championship
40,Doug Ghim,296.6,"2,373",8,World Wide Technology Championship
40,Henrik Norlander,296.6,"2,373",8,World Wide Technology Championship
42,Martin Laird,296.1,"2,369",8,World Wide Technology Championship
43,Adam Svensson,295.8,"2,366",8,World Wide Technology Championship
44,Dylan Wu,295.5,"2,364",8,World Wide Technology Championship
45,Beau Hossler,295.3,"2,362",8,World Wide Technology Championship
46,Ryan Gerard,295.1,"2,361",8,World Wide Technology Championship
47,Michael Kim,294.9,"2,359",8,World Wide Technology Championship
48,Nate Lashley,294.5,"2,356",8,World Wide Technology Championship
49,Carson Young,294.0,"2,352",8,World Wide Technology Championship
50,Tom Whitney,293.0,"2,344",8,World Wide Technology Championship
51,Matt Kuchar,292.6,"2,341",8,World Wide Technology Championship
51,David Skinns,292.6,"2,341",8,World Wide Technology Championship
53,Zach Bauchou,292.1,"2,337",8,World Wide Technology Championship
53,Kevin Tway,292.1,"2,337",8,World Wide Technology Championship
55,Sam Ryder,291.4,"2,331",8,World Wide Technology Championship
56,Harry Hall,290.8,"2,326",8,World Wide Technology Championship
57,Ben Griffin,290.1,"2,321",8,World Wide Technology Championship
58,Aaron Baddeley,289.4,"2,315",8,World Wide Technology Championship
59,S.Y. Noh,288.6,"2,309",8,World Wide Technology Championship
60,Austin Eckroat,288.1,"2,305",8,World Wide Technology Championship
61,Chad Ramey,287.9,"2,303",8,World Wide Technology Championship
62,Zac Blair,287.5,"2,300",8,World Wide Technology Championship
63,Kelly Kraft,286.1,"2,289",8,World Wide Technology Championship
64,Taylor Montgomery,285.5,"2,284",8,World Wide Technology Championship
65,Brandon Wu,285.0,"1,995",7,World Wide Technology Championship
66,Ryan McCormick,282.0,"2,256",8,World Wide Technology Championship
67,Maverick McNealy,281.8,"2,254",8,World Wide Technology Championship
1,Gary Woodland,314.3,"2,514",8,ZOZO CHAMPIONSHIP
2,Jhonattan Vegas,308.8,"2,470",8,ZOZO CHAMPIONSHIP
3,Chris Gotterup,308.4,"2,467",8,ZOZO CHAMPIONSHIP
4,Taylor Moore,307.3,"2,458",8,ZOZO CHAMPIONSHIP
5,Luke List,307.0,"2,456",8,ZOZO CHAMPIONSHIP
6,Xander Schauffele,306.8,"2,454",8,ZOZO CHAMPIONSHIP
7,Ryan Fox,305.3,"2,442",8,ZOZO CHAMPIONSHIP
7,Adam Schenk,305.3,"2,442",8,ZOZO CHAMPIONSHIP
9,Davis Riley,305.0,"2,440",8,ZOZO CHAMPIONSHIP
10,Kurt Kitayama,304.4,"2,435",8,ZOZO CHAMPIONSHIP
11,David Skinns,304.3,"2,434",8,ZOZO CHAMPIONSHIP
12,Patrick Rodgers,303.6,"2,429",8,ZOZO CHAMPIONSHIP
13,Charley Hoffman,303.4,"2,427",8,ZOZO CHAMPIONSHIP
14,Min Woo Lee,303.3,"2,426",8,ZOZO CHAMPIONSHIP
15,Sam Stevens,303.1,"2,425",8,ZOZO CHAMPIONSHIP
16,Harry Hall,302.8,"2,422",8,ZOZO CHAMPIONSHIP
17,Will Zalatoris,300.9,"2,407",8,ZOZO CHAMPIONSHIP
18,Seamus Power,300.5,"2,404",8,ZOZO CHAMPIONSHIP
19,Mac Meissner,298.5,"2,388",8,ZOZO CHAMPIONSHIP
20,Rico Hoey,297.9,"2,383",8,ZOZO CHAMPIONSHIP
21,Doug Ghim,297.5,"2,380",8,ZOZO CHAMPIONSHIP
21,Takahiro Hataji,297.5,"2,380",8,ZOZO CHAMPIONSHIP
21,Justin Thomas,297.5,"2,380",8,ZOZO CHAMPIONSHIP
24,S.H. Kim,296.6,"2,373",8,ZOZO CHAMPIONSHIP
25,Collin Morikawa,296.1,"2,369",8,ZOZO CHAMPIONSHIP
26,Mark Hubbard,295.6,"2,365",8,ZOZO CHAMPIONSHIP
26,Chan Kim,295.6,"2,365",8,ZOZO CHAMPIONSHIP
26,Kevin Yu,295.6,"2,365",8,ZOZO CHAMPIONSHIP
29,Adam Svensson,295.4,"2,363",8,ZOZO CHAMPIONSHIP
30,Sahith Theegala,295.0,"2,360",8,ZOZO CHAMPIONSHIP
31,Lee Hodges,294.8,"2,358",8,ZOZO CHAMPIONSHIP
32,Andrew Novak,294.1,"2,353",8,ZOZO CHAMPIONSHIP
33,Max Homa,293.8,"2,350",8,ZOZO CHAMPIONSHIP
33,Ben Kohles,293.8,"2,350",8,ZOZO CHAMPIONSHIP
35,Victor Perez,293.6,"2,349",8,ZOZO CHAMPIONSHIP
35,Yuta Sugiura,293.6,"2,349",8,ZOZO CHAMPIONSHIP
37,Patrick Fishburn,293.5,"2,348",8,ZOZO CHAMPIONSHIP
38,K.H. Lee,293.1,"2,345",8,ZOZO CHAMPIONSHIP
38,Hideki Matsuyama,293.1,"2,345",8,ZOZO CHAMPIONSHIP
40,Ben Griffin,292.8,"2,342",8,ZOZO CHAMPIONSHIP
40,Si Woo Kim,292.8,"2,342",8,ZOZO CHAMPIONSHIP
42,Hiroshi Iwata,292.5,"2,340",8,ZOZO CHAMPIONSHIP
,Field Average,292.4,,,ZOZO CHAMPIONSHIP
43,Max Greyserman,292.3,"2,338",8,ZOZO CHAMPIONSHIP
44,Beau Hossler,291.9,"2,335",8,ZOZO CHAMPIONSHIP
45,Rickie Fowler,291.0,"2,328",8,ZOZO CHAMPIONSHIP
46,Takumi Kanaya,290.6,"2,325",8,ZOZO CHAMPIONSHIP
47,Ben Silverman,290.4,"2,323",8,ZOZO CHAMPIONSHIP
48,Sungjae Im,289.6,"2,317",8,ZOZO CHAMPIONSHIP
49,Ryo Hisatsune,288.0,"2,304",8,ZOZO CHAMPIONSHIP
50,Taisei Shimizu,287.9,"2,303",8,ZOZO CHAMPIONSHIP
50,Sami Valimaki,287.9,"2,303",8,ZOZO CHAMPIONSHIP
52,Naoyuki Kataoka,287.4,"2,299",8,ZOZO CHAMPIONSHIP
53,Justin Lower,287.3,"2,298",8,ZOZO CHAMPIONSHIP
53,Chandler Phillips,287.3,"2,298",8,ZOZO CHAMPIONSHIP
55,Nate Lashley,286.0,"2,288",8,ZOZO CHAMPIONSHIP
56,Nick Taylor,285.9,"2,287",8,ZOZO CHAMPIONSHIP
57,Joel Dahmen,285.8,"2,286",8,ZOZO CHAMPIONSHIP
58,Nico Echavarria,285.6,"2,285",8,ZOZO CHAMPIONSHIP
58,Satoshi Kodaira,285.6,"2,285",8,ZOZO CHAMPIONSHIP
60,Yuto Katsuragawa,285.5,"2,284",8,ZOZO CHAMPIONSHIP
61,Kensei Hirata,285.4,"2,283",8,ZOZO CHAMPIONSHIP
61,C.T. Pan,285.4,"2,283",8,ZOZO CHAMPIONSHIP
61,Ren Yonezawa,285.4,"2,283",8,ZOZO CHAMPIONSHIP
64,Carson Young,284.9,"2,279",8,ZOZO CHAMPIONSHIP
65,Chad Ramey,284.5,"2,276",8,ZOZO CHAMPIONSHIP
66,Ryosuke Kinoshita,284.3,"2,274",8,ZOZO CHAMPIONSHIP
67,J.J. Spaun,282.5,"2,260",8,ZOZO CHAMPIONSHIP
68,Shugo Imahira,282.1,"2,257",8,ZOZO CHAMPIONSHIP
69,Tom Hoge,281.3,"2,250",8,ZOZO CHAMPIONSHIP
69,Takashi Ogiso,281.3,"2,250",8,ZOZO CHAMPIONSHIP
71,Matt Kuchar,279.3,"2,234",8,ZOZO CHAMPIONSHIP
72,Ryo Ishikawa,277.1,"2,217",8,ZOZO CHAMPIONSHIP
73,Eric Cole,274.9,"2,199",8,ZOZO CHAMPIONSHIP
74,Zac Blair,274.1,"2,193",8,ZOZO CHAMPIONSHIP
75,Brendon Todd,273.1,"2,185",8,ZOZO CHAMPIONSHIP
76,Kaito Onishi,273.0,"2,184",8,ZOZO CHAMPIONSHIP
77,Andrew Putnam,264.1,"2,113",8,ZOZO CHAMPIONSHIP
1,Chris Gotterup,351.5,"2,812",8,Shriners Children's Open
2,Pierceson Coody,342.1,"2,737",8,Shriners Children's Open
3,Gary Woodland,341.8,"2,734",8,Shriners Children's Open
4,Alejandro Tosti,340.8,"2,726",8,Shriners Children's Open
5,Erik van Rooyen,340.6,"2,725",8,Shriners Children's Open
6,Jhonattan Vegas,336.0,"2,688",8,Shriners Children's Open
7,Patrick Fishburn,334.8,"2,678",8,Shriners Children's Open
8,Ryan Fox,334.5,"2,676",8,Shriners Children's Open
9,Taylor Pendrith,334.3,"2,674",8,Shriners Children's Open
10,Taylor Moore,334.1,"2,673",8,Shriners Children's Open
11,Vince Whaley,332.1,"2,657",8,Shriners Children's Open
12,Doug Ghim,331.6,"2,653",8,Shriners Children's Open
13,Norman Xiong,331.3,"2,650",8,Shriners Children's Open
14,Matti Schmid,331.1,"2,649",8,Shriners Children's Open
15,Beau Hossler,331.0,"2,648",8,Shriners Children's Open
16,Joseph Bramlett,330.9,"2,647",8,Shriners Children's Open
17,David Skinns,330.5,"2,644",8,Shriners Children's Open
18,Kurt Kitayama,329.6,"2,637",8,Shriners Children's Open
18,Adam Schenk,329.6,"2,637",8,Shriners Children's Open
20,Maverick McNealy,329.5,"2,636",8,Shriners Children's Open
21,Neal Shipley,329.3,"2,634",8,Shriners Children's Open
22,Sam Stevens,329.0,"2,632",8,Shriners Children's Open
23,Wilson Furr,328.8,"2,630",8,Shriners Children's Open
24,Garrick Higgo,328.4,"2,627",8,Shriners Children's Open
24,J.J. Spaun,328.4,"2,627",8,Shriners Children's Open
26,Rico Hoey,326.6,"2,613",8,Shriners Children's Open
27,Ian Gilligan,326.4,"2,611",8,Shriners Children's Open
28,Ryan McCormick,326.3,"2,610",8,Shriners Children's Open
29,Davis Thompson,324.3,"2,594",8,Shriners Children's Open
30,Austin Eckroat,323.9,"2,591",8,Shriners Children's Open
30,Michael Kim,323.9,"2,591",8,Shriners Children's Open
32,Daniel Berger,323.8,"2,590",8,Shriners Children's Open
33,Luke List,323.6,"2,589",8,Shriners Children's Open
34,Lanto Griffin,323.4,"2,587",8,Shriners Children's Open
35,Alex Smalley,323.1,"2,585",8,Shriners Children's Open
36,S.H. Kim,322.9,"2,583",8,Shriners Children's Open
37,Mark Hubbard,322.1,"2,577",8,Shriners Children's Open
37,K.H. Lee,322.1,"2,577",8,Shriners Children's Open
39,Jacob Bridgeman,322.0,"2,576",8,Shriners Children's Open
39,Harris English,322.0,"2,576",8,Shriners Children's Open
41,Harry Hall,321.0,"2,568",8,Shriners Children's Open
,Field Average,319.5,,,Shriners Children's Open
42,Bud Cauley,318.8,"2,550",8,Shriners Children's Open
43,Trace Crowe,317.6,"2,541",8,Shriners Children's Open
43,J.T. Poston,317.6,"2,541",8,Shriners Children's Open
45,Joe Highsmith,317.1,"2,537",8,Shriners Children's Open
46,Davis Riley,316.9,"2,535",8,Shriners Children's Open
46,Ben Taylor,316.9,"2,535",8,Shriners Children's Open
48,Rickie Fowler,315.6,"2,525",8,Shriners Children's Open
49,Tyler Duncan,314.6,"2,517",8,Shriners Children's Open
50,Nicolo Galletti,314.4,"2,515",8,Shriners Children's Open
51,Scott Piercy,314.3,"2,514",8,Shriners Children's Open
52,C.T. Pan,313.8,"2,510",8,Shriners Children's Open
53,Chad Ramey,312.4,"2,499",8,Shriners Children's Open
54,Dan McCarthy,312.3,"2,498",8,Shriners Children's Open
55,Ben Silverman,311.0,"2,488",8,Shriners Children's Open
56,Nick Taylor,310.8,"2,486",8,Shriners Children's Open
57,Ryan Moore,309.8,"2,478",8,Shriners Children's Open
58,Greyson Sigg,309.1,"2,473",8,Shriners Children's Open
59,Justin Suh,308.1,"2,465",8,Shriners Children's Open
60,Camilo Villegas,307.1,"2,457",8,Shriners Children's Open
61,Francesco Molinari,304.5,"2,436",8,Shriners Children's Open
62,David Lipsky,303.1,"2,425",8,Shriners Children's Open
63,Zac Blair,302.1,"2,417",8,Shriners Children's Open
64,Nate Lashley,299.9,"2,399",8,Shriners Children's Open
65,Andrew Putnam,299.6,"2,397",8,Shriners Children's Open
66,Matt Kuchar,295.5,"2,364",8,Shriners Children's Open
1,Erik van Rooyen,344.5,"2,756",8,Black Desert Championship
2,Harry Hall,343.8,"2,750",8,Black Desert Championship
3,Will Gordon,343.6,"2,749",8,Black Desert Championship
4,Alejandro Tosti,342.5,"2,740",8,Black Desert Championship
5,Trey Mullinax,340.9,"2,727",8,Black Desert Championship
6,Joseph Bramlett,340.8,"2,726",8,Black Desert Championship
7,Tyson Alexander,340.5,"2,724",8,Black Desert Championship
8,Cameron Champ,340.4,"2,723",8,Black Desert Championship
9,Kurt Kitayama,338.9,"2,711",8,Black Desert Championship
10,Patrick Rodgers,337.1,"2,697",8,Black Desert Championship
11,Carl Yuan,335.8,"2,686",8,Black Desert Championship
12,Ryan Fox,335.4,"2,683",8,Black Desert Championship
13,Kevin Tway,334.4,"2,675",8,Black Desert Championship
14,Henrik Norlander,334.1,"2,673",8,Black Desert Championship
15,Harris English,334.0,"2,672",8,Black Desert Championship
16,Alex Smalley,333.3,"2,666",8,Black Desert Championship
17,Beau Hossler,333.1,"2,665",8,Black Desert Championship
17,Mac Meissner,333.1,"2,665",8,Black Desert Championship
19,Lucas Glover,333.0,"2,664",8,Black Desert Championship
20,Erik Barnes,332.3,"2,658",8,Black Desert Championship
21,Stephan Jaeger,331.9,"2,655",8,Black Desert Championship
22,Wilson Furr,331.5,"2,652",8,Black Desert Championship
23,J.J. Spaun,330.9,"2,647",8,Black Desert Championship
24,Lanto Griffin,330.8,"2,646",8,Black Desert Championship
25,Kevin Streelman,330.4,"2,643",8,Black Desert Championship
26,Vince Whaley,330.1,"2,641",8,Black Desert Championship
27,Joe Highsmith,330.0,"2,640",8,Black Desert Championship
28,Matti Schmid,329.9,"2,639",8,Black Desert Championship
29,Doug Ghim,329.6,"2,637",8,Black Desert Championship
30,Lee Hodges,329.5,"2,636",8,Black Desert Championship
31,Ryo Hisatsune,329.3,"2,634",8,Black Desert Championship
32,Chan Kim,329.0,"2,632",8,Black Desert Championship
33,Norman Xiong,328.9,"2,631",8,Black Desert Championship
34,Carson Young,328.8,"2,630",8,Black Desert Championship
35,Chesson Hadley,327.5,"2,620",8,Black Desert Championship
36,Wesley Bryan,327.4,"2,619",8,Black Desert Championship
37,Nick Hardy,326.8,"2,614",8,Black Desert Championship
38,Ben Kohles,326.5,"2,612",8,Black Desert Championship
39,Alexander Björk,326.1,"2,609",8,Black Desert Championship
40,Seamus Power,326.0,"2,608",8,Black Desert Championship
41,Matt McCarty,325.5,"2,604",8,Black Desert Championship
42,Daniel Berger,325.0,"2,600",8,Black Desert Championship
43,Tyler Duncan,324.9,"2,599",8,Black Desert Championship
44,Chris Kirk,324.4,"2,595",8,Black Desert Championship
,Field Average,324.3,,,Black Desert Championship
45,Patton Kizzire,324.3,"2,594",8,Black Desert Championship
46,Max McGreevy,324.0,"2,592",8,Black Desert Championship
47,Chad Ramey,323.8,"2,590",8,Black Desert Championship
48,Nick Taylor,323.5,"2,588",8,Black Desert Championship
49,Dylan Wu,323.4,"2,587",8,Black Desert Championship
50,Trace Crowe,323.3,"2,586",8,Black Desert Championship
51,Joel Dahmen,321.9,"2,575",8,Black Desert Championship
52,Nico Echavarria,321.8,"2,574",8,Black Desert Championship
53,Rico Hoey,321.5,"2,572",8,Black Desert Championship
53,S.H. Kim,321.5,"2,572",8,Black Desert Championship
53,K.H. Lee,321.5,"2,572",8,Black Desert Championship
56,Sam Ryder,320.4,"2,563",8,Black Desert Championship
57,Jacob Bridgeman,319.5,"2,556",8,Black Desert Championship
58,Philip Knowles,318.6,"2,549",8,Black Desert Championship
59,Ben Griffin,318.5,"2,548",8,Black Desert Championship
59,Scott Piercy,318.5,"2,548",8,Black Desert Championship
61,Adam Svensson,318.0,"2,544",8,Black Desert Championship
62,Greyson Sigg,317.6,"2,541",8,Black Desert Championship
